 987 ,PC802_0 PFI 1 PRINTF: msg=,0x1201E180, dir_q,0x11,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x001100FD, mcycle,1941097269
 988 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0x001100FD, mcycle,1941106838
 989 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x001100FD, mcycle,1941130100
 990 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x001200FD, mcycle,1941497151
 991 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x001200FD, mcycle,1941501247
 992 ,PC802_0 PFI 1 PRINTF: msg=,0x12000720, dir_q,0x11,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x001200FD, mcycle,1941522415
 993 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0x001200FD, mcycle,1941532009
 994 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x001200FD, mcycle,1941555162
 995 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x001300FD, mcycle,1941921208
 996 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x001300FD, mcycle,1941925223
 997 ,PC802_0 PFI 1 PRINTF: msg=,0x032368A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0x001300FD, mcycle,1941954898
 998 ,PC802_0 PFI 1 PRINTF: msg=,0x032BB220, dir_q,0x02,GET  , type= ,1, size0=0, SLot_SFN  ,0x001300FD, mcycle,1942003491
 999 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942346363
1000 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942350594
1001 ,PC802_0 PFI 1 PRINTF: msg=,0x12C29420, dir_q,0x01,GET  , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942361072
1002 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942383658
1003 ,PC802_0 PFI 1 PRINTF: msg=,0x1201E180, dir_q,0x11,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942384804
1004 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,GET  , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942445476
1005 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942465958
1006 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,FREE , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942478327
1007 ,PC802_0 PFI 1 PRINTF: msg=,0x12C02020, dir_q,0x01,GET  , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942478985
1008 ,PC802_0 PFI 1 PRINTF: msg=,0x12C02020, dir_q,0x01,FREE , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942479408
1009 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942480612
1010 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942499948
1011 ,PC802_0 PFI 1 PRINTF: msg=,0x12000720, dir_q,0x11,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942501273
1012 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,PUT  , type= ,2, size0=1, SLot_SFN  ,0x000000FE, mcycle,1942503490
1013 ,PC802_0 PFI 1 PRINTF: msg=,0x032BB220, dir_q,0x02,FREE , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942505285
1014 ,PC802_0 PFI 1 PRINTF: msg=,0x12C29420, dir_q,0x01,FREE , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,1942506170
1015 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,3641948990
1016 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,3643042284
1017 ,PC802_0 PFI 1 PRINTF: msg=,0x032368A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,3643044542
1018 ,PC802_0 PFI 1 PRINTF: msg=,0x032368A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,3643050296
1019 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,197190624
1020 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,ALLOC, type= ,1, size0=0, SLot_SFN  ,0x00000000, mcycle,197198499
1021 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,ALLOC, type= ,1, size0=0, SLot_SFN  ,0x00000000, mcycle,197199231
1022 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,197202919
1023 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,ALLOC, type= ,2, size0=1, SLot_SFN  ,0x00010000, mcycle,874943093
1024 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0x00010000, mcycle,874952919
