PFI 0 PRINTF(   413 :   46210054): msg=0x12C3C880,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xCB000008,mcycle=, 42164205
PFI 0 PRINTF(   413 :   46224020): msg=0x12C3C880,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xCB000008,mcycle=, 42196251
PFI 0 PRINTF(   413 :   46224720): msg=0x12C02020,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xCC010008,mcycle=, 42669317
PFI 0 PRINTF(   413 :   46225418): msg=0x12C02020,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xCC010008,mcycle=, 42703314
PFI 0 PRINTF(   413 :   46226115): msg=0x12C15840,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xCD020008,mcycle=, 43168112
PFI 0 PRINTF(   413 :   46226813): msg=0x12C15840,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xCD020008,mcycle=, 43202526
PFI 0 PRINTF(   413 :   46227511): msg=0x12C29060,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xCE030008,mcycle=, 43666732
PFI 0 PRINTF(   413 :   46228209): msg=0x12C29060,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xCE030008,mcycle=, 43701029
PFI 0 PRINTF(   413 :   46228906): msg=0x12C3C880,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xCF040008,mcycle=, 44169229
PFI 0 PRINTF(   413 :   46229603): msg=0x12C3C880,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xCF040008,mcycle=, 44200994
