PFI 0 PRINTF(   257 :  829225801): msg=0x032468C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3302031C,mcycle=,828176790
PFI 0 PRINTF(   257 :  829226498): msg=0x032468C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3302031C,mcycle=,828186836
PFI 0 PRINTF(   257 :  829227195): msg=0x0322E8C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3403031C,mcycle=,828650015
PFI 0 PRINTF(   257 :  829259003): msg=0x0322E8C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3403031C,mcycle=,828671228
PFI 0 PRINTF(   257 :  829259710): msg=0x032368C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3504031C,mcycle=,829179469
PFI 0 PRINTF(   257 :  829260417): msg=0x032368C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3504031C,mcycle=,829212910
PFI 0 PRINTF(   257 :  829262490): msg=0x12028F60,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x960A031A,mcycle=,812180802
PFI 0 PRINTF(   257 :  829263190): msg=0x12028F60,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x960A031A,mcycle=,812190068
PFI 0 PRINTF(   257 :  829263891): msg=0x1203CB80,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x970B031A,mcycle=,812688630
PFI 0 PRINTF(   257 :  829264594): msg=0x1203CB80,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x970B031A,mcycle=,812697877
PFI 0 PRINTF(   257 :  829265295): msg=0x12001720,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x9800031B,mcycle=,817177583
PFI 0 PRINTF(   257 :  829265996): msg=0x12001720,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x9800031B,mcycle=,817188163
PFI 0 PRINTF(   257 :  829266697): msg=0x12015340,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x9901031B,mcycle=,817691030
PFI 0 PRINTF(   257 :  829267400): msg=0x12015340,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x9901031B,mcycle=,817700149
