PFI 1 PRINTF(   144 : 1647104501): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xC80F0007,mcycle=,1640488103
PFI 1 PRINTF(   144 : 1647105231): msg=0x12C15840,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xC90F0007,mcycle=,1640505032
PFI 1 PRINTF(   144 : 1647105931): msg=0x12C15840,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xC9100007,mcycle=,1640988581
PFI 1 PRINTF(   144 : 1647106662): msg=0x12C29060,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xCA000008,mcycle=,1643004395
PFI 1 PRINTF(   144 : 1647107362): msg=0x12C29060,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xCA010008,mcycle=,1643488178
PFI 1 PRINTF(   144 : 1647108092): msg=0x12C3C880,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xCB010008,mcycle=,1643505161
PFI 1 PRINTF(   144 : 1647108792): msg=0x12C3C880,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xCB020008,mcycle=,1643988200
PFI 1 PRINTF(   144 : 1647122493): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xCC020008,mcycle=,1644004784
PFI 1 PRINTF(   144 : 1647123193): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xCC030008,mcycle=,1644488425
PFI 1 PRINTF(   144 : 1647123921): msg=0x12C15840,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xCD030008,mcycle=,1644505560
PFI 1 PRINTF(   144 : 1647124618): msg=0x12C15840,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xCD040008,mcycle=,1644988734
PFI 1 PRINTF(   144 : 1647125347): msg=0x12C29060,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xCE040008,mcycle=,1645005482
PFI 1 PRINTF(   144 : 1647126048): msg=0x12C29060,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xCE050008,mcycle=,1645488489
PFI 1 PRINTF(   144 : 1647126775): msg=0x12C3C880,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xCF050008,mcycle=,1645505112
PFI 1 PRINTF(   144 : 1647127473): msg=0x12C3C880,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xCF060008,mcycle=,1645988237
