PFI 1 PRINTF(   137 :  409496019): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x5E05019E,mcycle=,406026326
PFI 1 PRINTF(   137 :  409496746): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x6106019E,mcycle=,406493447
PFI 1 PRINTF(   137 :  409497443): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x5F06019E,mcycle=,406526377
PFI 1 PRINTF(   137 :  409498170): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x6207019E,mcycle=,406993556
PFI 1 PRINTF(   137 :  409498867): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x6007019E,mcycle=,407018645
PFI 1 PRINTF(   137 :  409499594): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x6308019E,mcycle=,407492225
PFI 1 PRINTF(   137 :  409500291): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x6108019E,mcycle=,407517322
PFI 1 PRINTF(   137 :  409501018): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x6409019E,mcycle=,407992831
PFI 1 PRINTF(   137 :  409501715): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x6209019E,mcycle=,408025399
PFI 1 PRINTF(   137 :  409502442): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x650A019E,mcycle=,408493200
PFI 1 PRINTF(   137 :  409503139): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x630A019E,mcycle=,408526004
PFI 1 PRINTF(   257 :  829220595): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3011031B,mcycle=,825641793
PFI 1 PRINTF(   257 :  829221302): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x2E11031B,mcycle=,825668998
PFI 1 PRINTF(   257 :  829222034): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3112031B,mcycle=,826140240
PFI 1 PRINTF(   257 :  829222732): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x2F12031B,mcycle=,826166811
PFI 1 PRINTF(   257 :  829223459): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3213031B,mcycle=,826640527
PFI 1 PRINTF(   257 :  829224158): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3013031B,mcycle=,826673402
PFI 1 PRINTF(   257 :  829224886): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3300031C,mcycle=,827142104
PFI 1 PRINTF(   257 :  829225584): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3100031C,mcycle=,827175720
PFI 1 PRINTF(   257 :  829226311): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3401031C,mcycle=,827641892
PFI 1 PRINTF(   257 :  829227008): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3201031C,mcycle=,827675130
PFI 1 PRINTF(   257 :  829227737): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3502031C,mcycle=,828141417
PFI 1 PRINTF(   257 :  829228434): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3302031C,mcycle=,828174221
PFI 1 PRINTF(   257 :  829229161): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3603031C,mcycle=,828640487
PFI 1 PRINTF(   257 :  829229858): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3403031C,mcycle=,828647481
PFI 1 PRINTF(   257 :  829258337): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3704031C,mcycle=,829140219
PFI 1 PRINTF(   257 :  829259040): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3504031C,mcycle=,829173589
