PFI 12 PRINTF(   257 :  829225593): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x2D10031B,mcycle=,825175089
PFI 12 PRINTF(   257 :  829226320): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3011031B,mcycle=,825641793
PFI 12 PRINTF(   257 :  829227017): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x2E11031B,mcycle=,825668998
PFI 12 PRINTF(   257 :  829227744): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3112031B,mcycle=,826140240
PFI 12 PRINTF(   257 :  829228441): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x2F12031B,mcycle=,826166811
PFI 12 PRINTF(   257 :  829229168): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3213031B,mcycle=,826640527
PFI 12 PRINTF(   257 :  829229865): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3013031B,mcycle=,826673402
PFI 12 PRINTF(   257 :  829258363): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3300031C,mcycle=,827142104
PFI 12 PRINTF(   257 :  829259064): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3100031C,mcycle=,827175720
PFI 12 PRINTF(   257 :  829261178): msg=0x12015340,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9D01031C,mcycle=,827676451
PFI 12 PRINTF(   257 :  829261905): msg=0x12028F60,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9607031A,mcycle=,810657937
PFI 12 PRINTF(   257 :  829262602): msg=0x1203CB80,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9708031A,mcycle=,811157464
PFI 12 PRINTF(   257 :  829263329): msg=0x12028F60,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x960A031A,mcycle=,812176048
